pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
os-homedir,,0.73,,
for-own,,1.46,,
jsesc,16.81,125.06,63438.16,33527.87
is-my-json-valid,453.99,98.08,79846.42,72429.86
for-in,190.57,8.09,,
esutils,13.84,14.65,65918.97,58763.12
shelljs,1163.79,91.36,57182.76,43451.07
jsonpointer,7352.89,934.67,57585.00,29692.01
nan,84.01,84.82,57789.69,48256.42
os-tmpdir,,,,
json-stable-stringify,573.85,11.01,17893.37,18862.23
component-emitter,1976.87,7757.44,,
sprintf-js,3094.74,471.15,69130.24,39394.33
find-up,161.64,86.71,,
asynckit,2.48,746.34,2177.78,
js-tokens,251.98,2.02,,
parseurl,13.36,384.63,9752.48,2115.23
is-finite,466.25,16.87,,
bl,35.72,51.76,46378.89,33611.81
isexe,4609.37,3664.14,50805.79,29569.89
setprototypeof,2557.40,2163.34,,60370.47
pify,2179.32,1368.88,,
code-point-at,,54.33,,
ajv,151.86,131.16,30078.25,21922.42
co,137.27,77.24,80823.20,70280.40
vary,74.73,358.05,,4088.03
normalize-path,625.69,2767.67,,43889.53
mute-stream,23959.59,99.94,,
jsonify,,184.13,26831.04,
path-to-regexp,120.60,411.90,5770.78,4927.29
convert-source-map,7797.18,1178.16,39862.66,4202.34
media-typer,1.90,338.22,,19824.29
get-stdin,4.24,16.51,75511.82,
interpret,1377.83,36.97,23154.55,12549.13
generate-function,,2050.84,88279.19,82613.39
source-map-support,743.07,299.24,65824.75,48419.94
utils-merge,9.22,12340.87,29044.15,41547.63
generate-object-property,0.27,0.43,,1353.50
unpipe,,5.31,,
is-property,,60.13,88468.13,83778.77
arr-flatten,16933.45,47.40,56760.66,48030.02
lodash.keys,2.81,27.85,10887.44,7943.98
randomatic,151.67,228.59,56455.78,50351.12
buffer-shims,245.73,,79116.43,
destroy,31.86,7066.55,,10891.62
lazy-cache,1381.82,4.64,2611.48,36554.19
object.omit,12.27,2377.91,67480.46,53376.86
filename-regex,,0.78,62562.07,73795.34
babel-runtime,,,,
micromatch,353.41,896.24,30960.86,33518.38
is-dotfile,,12.15,,
arr-diff,1898.82,20.64,34103.49,50141.33
content-type,0.84,789.15,6300.42,2402.58
is-utf8,8700.26,14106.75,73114.54,
load-json-file,7.08,16.46,,
diff,16453.37,242.08,37293.44,45615.35
ini,7339.58,657.96,62350.05,5494.38
array-unique,125.43,271.62,60341.15,70067.68
signal-exit,14793.84,582.59,11280.38,9939.16
is-extendable,0.57,679.02,,37847.65
cookie-signature,974.01,1527.72,21347.26,
read-pkg,10.45,13.02,,
