pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
mute-stdout,2135.36,154.77,,
yeoman-generator,552.11,47.08,32986.12,
loader-fs-cache,47.16,44.93,50034.04,42537.89
colour,,,,75786.79
modify-filename,107.29,0.65,,
clean-yaml-object,86.09,775.87,78464.49,43333.09
lodash.toarray,2.81,27.85,10897.02,7953.55
single-line-log,1593.41,196.09,56210.18,74962.17
change-emitter,2522.49,1935.36,71769.11,44528.96
pg-pool,163.91,192.71,43511.82,20875.25
delegate,1911.42,1198.51,66947.69,42986.03
broccoli-filter,4531.55,831.31,79691.25,83762.77
d3-color,228.11,43.10,44604.82,34532.30
pug-code-gen,355.00,91.12,61048.73,37640.15
weak-map,130.99,6603.75,72639.38,67301.38
pug-load,355.00,91.12,61048.75,37640.16
progress-stream,2811.79,3.27,57201.94,81152.35
pug-strip-comments,355.00,91.12,61048.76,37640.17
can-symlink,,136.30,91320.05,35488.18
functional-red-black-tree,1717.48,1957.90,53501.99,33175.46
string.prototype.trim,18.64,246.83,41884.98,369.59
stream-via,,,,
@types/express,,,,
nodemailer-smtp-pool,,2.22,,
corser,636.65,407.77,98434.95,
rev-hash,1.54,11.43,,
zlib-browserify,10183.97,1355.52,109892.58,104797.49
d3-array,242.90,249.86,43489.48,24018.38
qunitjs,1944.84,145.14,43577.23,27675.15
@gulp-sourcemaps/map-sources,35.14,,76227.91,
markdown-it-terminal,4114.11,2432.58,35108.37,30405.36
collect-all,,,,
token-stream,,1825.06,46953.65,30079.67
rev-path,,738.87,,
select,4309.85,77.52,62001.68,
karma-ng-html2js-preprocessor,828.89,2146.75,90742.57,76554.39
lodash._basefindindex,2.81,27.85,10897.17,7953.70
lodash.set,2.81,27.85,10897.21,7953.74
regexp-quote,83.05,67.43,64773.01,
elasticsearch,11916.50,668.31,,
good-listener,115.91,58.34,69142.22,68201.61
d3-collection,2890.59,1830.00,,
doctypes,0.04,54.97,,
chart.js,,,,
d3-scale,184.82,213.42,46494.74,46255.18
map-limit,,,,
d3-format,39.13,306.59,39201.55,24855.56
eslint-scope,323.46,33.08,16085.15,981.18
react-dev-utils,,,,
through2-concurrent,26.41,26.15,52435.38,50628.99
electron-download,2275.46,65.83,27413.27,2950.60
md5.js,4706.54,5.02,,
lodash._basefind,2.81,27.85,10897.35,7953.88
extract-opts,9129.42,30.26,80889.57,
home-path,22.57,,,
d3-time,8.87,218.71,30146.85,20440.41
popsicle-rewrite,,,,
ports,,110.80,58773.51,
gulp-debug,33.59,51.95,,
intl-messageformat,277.57,41.85,11534.08,2302.87
eachr,11405.37,40.97,,
mimelib,11.14,4.15,66918.78,
react-transform-catch-errors,187.47,145.65,81967.72,
vue-loader,107.41,120.00,43826.22,37560.34
espurify,3491.57,136.17,81912.87,400.25
@types/serve-static,,,,
xhr,839.67,207.24,87539.34,56862.69
d3-time-format,151.88,1062.68,50439.61,41227.58
optjs,1267.76,,65116.84,
ascli,,1364.78,,
iterall,200.31,36.43,59400.85,37692.69
ember-cli,,,,
yam,86.34,7.76,95699.20,35059.30
is-string,238.53,436.68,27292.14,
react-addons-perf,,,,
hammerjs,2493.80,406.59,73635.31,71898.88
d3-shape,385.09,84.41,56204.49,28731.71
react-native,,,,
foreground-child,1295.13,4893.78,14803.26,18631.95
smart-extend,1549.55,0.02,65055.35,45876.20
broccoli-concat,1331.94,101.84,74673.07,36057.23
raven-js,,,,
parse-headers,6.89,465.31,58601.39,
dns-prefetch-control,749.87,675.01,,
import-lazy,4296.25,13.10,,
karma-requirejs,3360.33,2976.60,89196.76,76836.94
lodash._createwrapper,2.81,27.85,10897.63,7954.17
standard,590.43,116.33,42727.50,18236.75
nugget,378.15,14786.95,78579.04,42064.15
stream-to-array,166.95,677.72,50293.36,
gulp-mocha,1230.73,63.31,67263.91,
proxy-middleware,507.65,69.17,88787.22,84313.72
time-zone,,2.19,,
array-back,6.88,57.02,,
standard-engine,891.09,89.16,46633.98,39047.88
fuse.js,2443.07,439.17,4202.63,2375.92
n,1711.57,391.23,6580.12,
init-package-json,1182.27,217.41,83608.20,
buffer-more-ints,19.42,266.14,,53217.93
react-hot-api,426.52,246.89,75788.69,
generator-p2-theme,,,83114.57,
postcss-import,477.32,60.93,21209.91,114.03
fstream-npm,530.35,581.35,94456.55,85558.99
semver-dsl,,1.36,,
tar.gz,,610.50,,
ansi-escape-sequences,9.63,1027.55,,
ember-cli-htmlbars,261.43,35.71,45514.89,27643.54
git-rev-sync,2565.96,1081.76,48535.47,40441.42
fs-plus,10.04,61.00,78292.89,35980.40
react-addons-update,,,,
ember-cli-preprocess-registry,3707.10,311.82,39818.62,29951.90
ammo,0.70,10.97,,
karma-chai,559.15,20485.17,95443.58,94610.75
broccoli-slow-trees,8598.68,54.02,78781.83,25457.33
url2,228.01,233.13,91352.21,
gulp-typescript,340.81,58.81,50524.57,40398.18
babel-plugin-transform-es3-property-literals,,,,
copy-dereference,,31579.30,,96969.10
deref,5282.89,4.98,,
react-transition-group,168.35,159.96,45102.61,28394.76
grim,267.80,11.70,89812.45,40870.40
json-schema-faker,1402.38,41.61,28068.50,1668.10
tslint-loader,649.91,53.09,70465.88,65553.51
js-cookie,108.59,142.63,32420.75,
gulp-shell,5344.39,320.28,27620.37,37052.71
browserify-transform-tools,101.55,10.35,86232.58,81748.49
stream-exhaust,,452.94,,
babel-plugin-transform-es3-member-expression-literals,,,,
get-value,7050.03,13238.68,2664.97,1454.78
hapi,44.25,17.99,26146.08,14641.49
d3-path,388.97,1662.93,25987.67,23599.93
redux-saga,545.67,57.18,34497.81,12459.67
rgb-hex,3.93,93.07,47646.27,
gulp-inject,159.10,2409.05,76112.66,50745.96
stripe,21.02,39.96,20918.07,8634.64
co-read,5.30,460.64,,78975.59
command-line-usage,90.83,80.74,,
babel-plugin-external-helpers,,,,
sumchecker,1340.73,49.30,,19726.67
flat,16186.45,1261.33,49747.95,54838.04
codemirror,,0.76,,
wiredep,266.50,54.78,81074.53,80414.84
deglob,2398.26,455.25,39317.34,
co-from-stream,3.75,,,78975.65
string.prototype.startswith,18.12,7488.82,,
event-kit,227.11,229.38,80914.22,54788.81
ansi-wrap,,,89174.61,36385.45
toposort-class,1512.90,13.10,84822.84,24744.06
arr-union,1.34,,56768.59,44467.46
dottie,836.58,9.43,76773.36,9255.49
merge-defaults,,11809.28,,
lodash.identity,2.81,27.85,10898.04,7954.58
redux-devtools-instrument,432.80,82.01,29813.68,11539.09
pixrem,978.60,191.79,77713.60,80541.58
read-cache,,,,
yeoman-environment,1226.35,26.60,,25.44
npm-user-validate,11698.63,64.61,77430.38,
broccoli-clean-css,533.57,1706.87,,
tap,1968.06,1290.96,15382.27,
d3-queue,187.83,148.52,59169.30,59637.30
lodash.capitalize,2.81,27.85,10898.11,7954.64
loglevel,377.96,92.56,57493.95,6516.01
lodash.now,2.81,27.85,10898.14,7954.68
is-type,5.31,,,
promise-polyfill,1110.91,634.29,15409.68,16158.79
sanitize-filename,111.06,579.00,43370.01,36599.02
lodash.union,2.81,27.85,10898.18,7954.72
rollup-pluginutils,2803.10,109.75,,
string-hash,15.48,30.30,62597.10,
vue-template-compiler,,,,
react-router-dom,,,,
rw,7.59,1183.59,,53217.80
vue-style-loader,1587.92,42.47,53781.56,56219.33
chain-function,18.64,3.82,,
object-values,2.56,60.86,,
is-descriptor,18766.48,555.67,,
vue-hot-reload-api,53.97,56.19,61538.19,36255.12
@types/react,,,,
fast-sourcemap-concat,60.22,125.90,76882.38,30204.53
react-tap-event-plugin,459.08,360.84,80877.65,79191.82
intl-relativeformat,277.57,41.85,11535.04,2303.83
redux-devtools,432.80,82.01,29813.97,11539.38
react-helmet,741.01,172.06,55306.39,43271.82
react-dnd,3356.97,17.14,36637.67,19418.73
linklocal,8589.66,1928.93,64730.95,39505.67
intl-format-cache,277.57,41.85,11535.10,2303.89
plexer,3148.29,19784.22,,
resolve-pkg,54.37,13.73,34840.22,
grunt-shell,414.91,174.18,,
es3ify,207.15,23.26,64487.97,86506.56
react-infinity-menu,539.15,13.98,68698.83,
sanitize-html,1136.36,70.26,15500.19,5075.22
material-ui,,,,
printf,3308.50,11.62,68908.57,
lodash.repeat,2.81,27.85,10898.49,7955.02
dnd-core,3356.97,17.14,36637.81,19418.87
memory-streams,,50.12,,
gulp-footer,11199.69,609.66,65080.15,
process-relative-require,,,,
find-replace,,1.00,,
rc-util,680.88,195.25,25117.93,18502.70
react-intl,277.57,41.85,11535.24,2304.03
wkx,486.48,67.73,45998.70,33295.64
wgxpath,160.00,14.05,,84762.53
firebase,304.75,67.56,30331.10,17443.49
emits,,16.46,,
urlgrey,1371.73,6145.72,89216.38,26060.89
karma-coverage-istanbul-reporter,,131.23,,56610.78
ssh2,581.53,824.91,32296.28,27182.02
spawn-command,29980.83,7310.07,59390.72,
promzard,28331.84,145.84,,2172.08
babel-preset-react-native,521.40,129.58,36132.28,10979.83
is-wsl,4.20,114.00,179.51,
rgb2hex,138.59,45.54,34654.68,18650.41
css-value,1.23,13257.08,51151.31,91692.61
properties-parser,52362.62,35.18,,
react-dropzone,610.85,162.35,15928.84,11759.28
retry-as-promised,280.35,602.27,38772.42,12791.85
define-property,360.35,11848.16,48869.98,39247.96
electron,,,,
to-object-path,5954.72,2537.94,,46789.88
fireworm,3264.29,169.91,63269.07,85896.98
husky,1199.70,382.48,9561.86,9223.27
catbox,151.14,99.57,16100.87,
eslint-import-resolver-webpack,673.95,202.98,39818.60,35438.87
lodash.difference,2.81,27.85,10898.77,7955.31
bops,526.02,162.01,96978.72,94433.30
pkg-config,567.28,901.75,,
wordwrapjs,4973.10,308.31,,
gulp-ng-annotate,4.67,5.96,,
gulp-angular-templatecache,312.08,452.22,67785.04,
array-to-sentence,1593.32,14.50,36406.88,59406.40
csslint,1053.79,1000.72,93914.59,94165.52
levelup,1156.07,38.57,,
webdriverio,,,,
react-motion,332.59,36.78,77718.61,53356.08
karma-sinon,9715.73,13.96,,81770.45
gulp-help,264.79,22.24,72985.86,81073.47
inline-source-map-comment,14.17,0.18,49258.31,
v8-compile-cache,6087.50,1493.31,40874.71,37406.05
terraformer,1685.64,11.71,,
co-fs-extra,19.91,0.14,,
grunt-sass,8.92,9.46,20782.85,
postcss-nested,264.63,1.84,28682.97,
call-matcher,,3176.55,,39290.96
spawn-args,5011.52,5.06,69056.03,69056.02
vasync,551.24,65.62,88930.43,89441.80
vfile,367.94,42.63,,
sqlite3,3628.82,929.70,31768.01,1893.74
iron,52.43,35.09,,
github-url-from-git,4471.95,14.19,75777.30,51413.00
node-zopfli,2924.23,125.59,48958.93,35996.30
agentkeepalive,2663.13,107.19,37736.21,
disposables,8114.55,3719.60,86915.42,
to-utf8,1675.26,,,
simple-get,2255.62,196.71,39206.32,37466.76
grunt-newer,503.16,2190.26,96055.75,82445.21
passport-oauth2,291.64,4467.46,55603.38,54162.69
read-package-tree,3277.96,2665.45,47666.11,40284.35
shot,161.35,53.79,11236.62,25286.37
call,107.46,177.48,,
postcss-pseudoelements,36.35,15.57,29868.34,31484.05
expect,,,,
knex,2789.03,130.59,38652.92,19312.76
postcss-simple-vars,10.54,4.51,60769.16,
webpack-bundle-analyzer,429.15,82.04,43225.82,
underscore-plus,1888.34,4.52,67304.17,47439.30
sway,1165.34,930.40,64804.78,30595.42
clean-css-promise,49.53,8814.33,,40095.91
array-to-error,,,,
typedarray-to-buffer,65.60,52.52,,
cordova-android,1198.46,192.51,31223.11,1514.92
read-installed,515.20,1273.21,88255.49,58752.08
statehood,1.43,156.13,13991.80,
retry-request,3944.88,101.75,17923.71,1675.25
brfs,5512.61,139.86,88558.63,69852.39
compression-webpack-plugin,737.50,21.96,19367.96,40932.79
react-event-listener,31.94,2.84,61312.02,62621.19
rewire,1348.30,2653.72,63369.80,74546.67
googleapis,1224.81,36.55,26458.81,424.57
raven,,,,
isparta,1679.41,140.50,86256.80,64367.68
catbox-memory,5.74,57.04,9901.59,
terraformer-wkt-parser,4894.62,7.50,,
broccoli-stew,5295.78,6.04,71739.13,39929.39
react-data-grid,4080.10,54.50,23856.15,8528.41
ts-helpers,1143.79,,,77887.67
subtext,0.41,105.44,31896.65,10492.28
colornames,,11931.31,54161.46,86492.54
lodash.without,2.81,27.85,10899.12,7955.66
redux-actions,788.75,881.86,67805.36,43120.31
hash-sum,,6652.76,39330.13,39374.69
cordova-common,2143.95,138.18,33622.75,47808.31
cordova-js,5581.79,109.30,44836.89,51513.66
content,0.16,32.06,21809.63,
readdir-scoped-modules,,28.62,,
attr-accept,906.28,235.41,19866.31,9101.64
react-dnd-html5-backend,3356.97,17.14,36638.45,19419.52
accept,11.68,70.12,9886.90,9881.55
feature-detect-es6,10630.66,311.54,,
netrc,4.43,869.90,52143.55,87928.34
heavy,3.90,81.77,,
parserlib,3930.76,223.67,92977.11,66344.69
write-json-file,1357.13,48.29,,
react-docgen,2507.01,60.74,46205.39,9402.90
pleeease-filters,27.62,143.98,60090.59,46723.16
has-require,4.99,10.24,,56605.99
pez,0.19,21.04,22812.83,
deferred-leveldown,119.65,13.22,,
nomnomnomnom,13682.86,956.24,101222.78,82676.46
is-generator,0.21,62.25,,
eslint-config-react-app,,,,
vue-template-es2015-compiler,5.91,2844.87,60937.50,35994.51
wd,742.67,29.43,66742.18,34095.81
ember-router-generator,666.85,192.04,50334.83,18879.26
install,60.33,70.36,54984.20,58407.29
diagnostics,472.45,388.93,46345.84,53902.19
tcomb,67.59,5.14,71299.41,57499.18
body,5.45,1.03,55169.18,64421.74
referrer-policy,1905.66,38.69,,
cst,288.77,79.57,81388.56,45352.76
gunzip-maybe,1.55,158.65,48050.16,48230.41
gulp-postcss,152.65,23.25,65932.97,754.50
ssh2-streams,405.25,1934.55,55493.52,56638.90
html,8.70,1079.87,65571.58,76072.26
selenium-standalone,2202.61,48.75,27665.55,9495.05
reduce-reducers,5845.55,2056.82,59857.72,41448.91
is-equal,44.91,51.42,63235.64,
slick-carousel,259.65,2276.33,65702.94,73648.50
@types/chai,,,,
then-request,913.71,731.85,73964.54,16214.34
sync-request,890.11,301.85,52274.24,58340.46
cordova-app-hello-world,4819.85,78.83,,
b64,0.36,20.70,31205.51,20527.53
lsmod,,16.61,,
unreachable-branch-transform,39.45,23.00,94171.28,
env-variable,14208.28,3473.67,,50558.76
http-basic,153.68,295.72,69972.92,46872.67
eslint-plugin-mocha,1617.87,36.68,45849.81,4430.32
fuzzaldrin,832.93,544.06,91124.93,
systemjs-builder,255.58,43.89,77069.29,82620.25
mimos,4.59,64.39,,3633.27
caching-transform,3079.89,69.72,83844.46,34601.65
http-response-object,331.53,229.46,67262.47,41236.01
peek-stream,229.38,14.60,78379.74,23441.30
npm-path,2764.05,1284.07,,57183.81
sass-lint,378.77,34.86,73048.07,55246.17
fobject,1937.41,0.28,102252.19,
kuler,,6751.13,83837.05,54227.31
text-hex,,7300.10,,50559.62
restify,1446.34,155.33,45811.39,32539.11
electron-builder,1394.97,64.02,3786.15,2475.02
argv,26985.89,30262.44,72081.00,
de-indent,,5206.53,32705.46,
promise.pipe,,,,
tree-sync,1931.47,17.27,26433.68,35576.07
connect-flash,1394.72,3919.78,54211.62,41542.91
jit-grunt,357.53,453.28,81951.96,77378.63
nigel,2.24,98.76,21810.43,
vise,0.44,77.41,21810.44,
postcss-color-rgba-fallback,448.81,454.24,11391.95,39025.83
kindof,,,,
enable,25.63,0.79,96607.54,
is-deflate,,,,
must,297.27,227.96,85350.09,79553.56
amqplib,3565.24,922.31,52829.09,4822.11
react-element-to-jsx-string,375.41,52.07,34645.62,18288.17
temporary,368.62,87.98,71600.96,12174.57
swagger-express-middleware,35701.35,23465.18,15251.13,
aliasify,1106.71,46.02,84615.54,81174.67
broccoli-source,24.85,7.74,58446.76,40426.91
thunkify-wrap,8471.34,1.64,89006.70,33337.75
is-number-object,401.25,864.92,42452.72,
is-boolean-object,294.58,1526.45,42452.36,
md5-file,50.79,23.62,72621.91,
angular2-template-loader,392.73,944.26,77506.65,74525.54
atom-space-pen-views,19.06,9.39,96268.00,59410.10
expand-template,47.42,338.50,,
ember-cli-test-info,,0.45,80457.02,
ember-cli-path-utils,,,,
is-arrow-function,438.60,1699.02,50781.86,13722.60
unified,125.21,35.06,,3131.08
esmangle-evaluator,,1027.67,,82768.48
gherkin,,993.75,,
npm-which,31.05,,69758.29,
object.getownpropertydescriptors,335.36,4478.26,30734.62,
gm,341.08,471.97,76418.16,82540.53
broccoli-config-loader,11.21,24.50,81770.89,
clean-base-url,223.17,377.12,,54570.78
jwt-simple,2602.16,419.60,71200.50,63053.40
codecov,3778.06,201.10,51437.50,26425.82
string.prototype.padstart,0.61,6376.81,41887.33,
angular-ui-bootstrap,208.08,110.66,79072.21,77871.90
grouped-queue,24051.87,68.30,,
xhr2,3084.56,1740.33,70114.28,52686.55
has-symbol-support-x,,4417.67,,35949.15
is-dom,31.20,69.59,54709.00,
markdown-table,3.31,12.22,,
react-inspector,2488.31,1834.11,50948.71,1331.66
ember-cli-is-package-missing,,,,
lodash._slice,,1.61,,44521.82
has-to-string-tag-x,0.77,3313.22,,35946.66
koa,166.99,61.98,13928.52,17610.15
continuable-cache,,,,
enabled,,4266.10,86621.29,50558.94
noop-logger,,2.37,61647.83,
inline-process-browser,,,,
line-numbers,20.76,12.64,,
github-username,12.39,267.35,,
set-value,2693.10,4352.65,35729.92,34873.48
lodash.support,2.81,27.85,10899.57,7956.10
grpc,838.82,32.86,32626.80,8395.41
lodash._basecreatecallback,,1.61,,44521.90
unit.js,6489.93,1870.23,,
noder.io,1478.02,,,
clean-webpack-plugin,733.97,534.38,47100.02,33105.65
lodash._basecreatewrapper,,1.61,,44521.90
lodash._basebind,,1.61,,44521.90
colorspace,218.57,5667.77,2026.50,1584.08
lodash._setbinddata,,1.61,,44521.90
vxx,,707.59,72375.42,
stylelint-config-standard,79.42,14.49,16645.44,1.77
broccoli-config-replace,,9.57,73447.03,
collections,2727.82,99.61,66503.63,73080.55
bourbon,572.53,189.85,,
check-dependencies,638.53,155.42,76451.51,94330.69
react-pure-render,,1694.41,,53411.27
meteor-promise,1740.39,12767.58,79197.65,
stubs,2.24,20.56,65369.59,
grunt-eslint,12.74,6.53,,
postcss-color-rebeccapurple,279.12,8.75,9230.67,
swagger-server,534.61,18697.93,83811.05,83052.84
airbnb-js-shims,7.56,1.76,,
keep-alive-agent,,,102033.16,80151.16
directory-search,,,,
fuzzysearch,8.30,113.65,57905.94,46019.68
can-use-dom,,,,
get-port,1266.13,198.64,35345.33,
gulp-rev-replace,706.61,642.06,84725.72,85419.55
chartjs-color,11060.82,4.50,64919.90,
detect-port,2216.85,0.54,6924.56,
google-proto-files,259.36,11.31,15703.83,
swagger-cli,1666.85,163.99,40148.42,33069.93
mem-fs,14072.26,109.62,46633.30,988.98
postcss-pseudo-class-any-link,279.12,8.75,9230.69,
postcss-color-gray,7954.36,855.26,34996.17,34505.61
remark,117.72,23.63,,2822.31
pg-promise,12.06,1.79,,
postcss-color-hex-alpha,279.12,8.75,9230.71,
universal-analytics,3490.20,4253.15,68434.25,59644.46
react-simple-di,582.35,19591.95,80325.55,74947.19
sw-toolbox,360.44,51.88,79665.97,65260.65
stream-events,0.58,593.76,,
postcss-color-hwb,12375.09,134.86,65069.42,39970.88
component-indexof,19.32,975.88,67018.05,
assets-webpack-plugin,2763.50,17.92,46168.63,16839.53
nunjucks,830.06,225.96,59235.13,43450.34
co-fs,19.75,297.07,94670.51,92238.58
node-whois,3298.90,465.15,11736.29,
write-pkg,1603.12,59.23,,
ember-getowner-polyfill,9193.09,6.85,,
postcss-font-variant,2073.00,32.20,32384.91,33752.84
mem-fs-editor,170.95,70.10,48789.65,4040.69
mantra-core,80.08,27741.66,82197.19,84277.74
ioredis,420.43,69.35,29042.78,22514.93
level-codec,701.60,13.03,,
chartjs-color-string,,6215.40,,74556.88
axobject-query,1497.43,223.41,27642.94,15726.30
grunt-contrib-compress,179.63,64.77,66970.96,247.51
ansi-red,3.52,,,61486.64
prettier,,,,
@types/mocha,,,,
accessibility-developer-tools,545.96,97.92,85882.14,75455.79
ember-cli-get-component-path-option,5714.71,333.12,,39140.07
component-classes,694.39,230.59,82667.91,86342.13
rc-animate,388.03,172.10,53130.79,46110.47
x-is-string,0.41,,13103.05,39318.08
broccoli-funnel-reducer,,9049.90,,
ember-cli-valid-component-name,,,,
ref,1053.96,130.70,59311.93,54883.81
@angular/platform-server,,,,
grunt-contrib-htmlmin,11.86,72.08,,349.91
unist-util-visit,589.91,14.99,1023.35,1023.09
ltgt,,19.93,64171.24,
q-io,783.27,91.35,99512.69,64611.51
expect.js,584.84,4772.52,103212.40,78071.03
gulp-livereload,1104.90,132.10,84339.54,
websocket,464.49,189.67,63277.25,43461.66
remark-parse,117.72,23.63,,2822.54
null-loader,395.22,106.69,,47180.52
atom-package-deps,80.08,117.74,34966.10,33396.38
harmony-reflect,155.86,50.12,96833.60,
xmldoc,2018.65,45.48,41122.99,18631.57
css-animation,45.63,61.42,58874.97,
sortobject,4310.64,132.27,59609.16,
word-wrap,451.33,507.99,69758.24,14206.28
taskgroup,2021.52,167.10,77900.55,
postcss-mixins,21.19,3.15,39521.63,
nightwatch,1016.41,371.66,22520.39,11403.77
spark-md5,1358.19,17.27,43180.39,52869.62
@types/bluebird,,,,
i18next,187.20,116.74,2220.66,898.82
postcss-initial,126.38,30.32,34598.90,
electron-apps,945.84,124.99,50379.17,16139.66
react-json-tree,432.80,82.01,29815.61,11541.02
chai-enzyme,229.46,444.18,76693.26,57629.31
deep-assign,386.87,93.63,,
native-or-bluebird,,7.90,,
d3-timer,53.46,608.53,22556.51,27907.66
flux,1600.11,87.08,61433.27,
bitsyntax,10236.17,17190.75,54067.60,56431.73
serviceworker-cache-polyfill,897.93,246.44,71876.86,62297.75
truncate-utf8-bytes,38410.05,0.09,23994.11,79635.62
utf8-byte-length,38409.88,5959.07,24390.76,20917.46
character-reference-invalid,,12.97,,
character-entities,26.66,11.87,,
cjson,1665.77,17.70,91121.50,43336.11
emissary,679.33,17.70,,
ref-struct,333.91,21.78,71847.88,58292.46
wdio-dot-reporter,22.40,5.90,67651.40,
character-entities-legacy,,12.40,,
slug,169.22,2.56,28476.41,
property-accessors,,11.63,,
mixto,,2201.11,,36655.55
connect-redis,662.40,118.79,,
unicode,,8039.59,22258.70,18526.04
class-extend,1659.28,376.64,,60897.51
array-parallel,8.74,357.05,110763.48,
bmp-js,1274.91,277.82,52909.38,52918.02
grunt-usemin,1954.49,287.68,97161.38,92135.88
ffi,228.35,245.35,65297.11,67796.37
run-series,1834.95,133.28,,27742.03
bail,0.11,12.15,,
bufferjs,205.24,417.76,36427.77,
date-utils,1746.47,97.78,85020.03,87121.99
glob-to-regexp,52.88,97.17,54463.74,66649.24
acorn-to-esprima,2.62,149.26,,82277.81
npm-install-package,6215.69,29889.60,69974.98,
react-scripts,,,,
array-series,8.73,,110775.31,44542.09
gh-got,2763.63,8.60,,
simple-assign,14.30,0.01,,
valid-url,11.11,5775.09,66738.79,36899.36
cordova-fetch,811.03,74.31,,
pre-commit,277.18,329.29,65152.66,65047.17
postcss-cssnext,473.17,132.94,,
esniff,71.16,2.07,77441.90,
conventional-changelog,831.13,405.62,44089.97,23880.00
empower-core,1975.72,16.51,83496.98,59945.75
tap-mocha-reporter,3605.45,9362.96,53789.70,46963.61
es6-template-strings,113.26,,82646.20,
jquery-ui,266.17,144.03,23279.00,44083.28
gulp-htmlmin,13.88,48.25,37407.91,29060.36
require-relative,3244.13,4772.90,79623.67,
xpath.js,2744.45,11.98,83996.68,68332.65
knox,216.12,52.95,91409.54,81754.38
prettysize,8952.55,1980.23,60164.60,53062.52
trim-trailing-lines,1.48,16.46,,
promise-each,804.56,2792.90,83826.49,
throwback,16642.74,1575.04,,
memory-cache,853.56,1028.60,68507.67,62443.17
highcharts,,1705.25,,
flux-standard-action,6479.37,968.24,73467.76,18348.12
parse-entities,22.96,19.99,,
d3-ease,249.97,614.45,89834.46,23775.01
fbjs-scripts,344.99,206.61,69944.49,39729.04
grunt-lib-contrib,114.58,19.94,,
gulp-changed,359.84,85.77,,
datauri,8664.35,820.60,,1768.00
stringify-entities,442.83,17.98,,
d3-dispatch,11.33,587.37,7862.02,23775.01
get-func-name,839.48,3580.23,49632.50,17690.66
longest-streak,,11.27,,1658.82
is-decimal,,10.17,,
git-repo-version,193.91,2.78,68041.33,66776.73
vfile-location,2430.52,20.35,,
is-alphabetical,7.42,10.20,,
grunt-contrib-imagemin,506.39,84.96,35751.12,19146.04
angular-cookies,,,,
is-alphanumerical,,6.68,,
fbemitter,1641.74,225.98,81473.86,49921.01
eslint-plugin-node,321.72,331.96,43336.37,37287.86
raptor-util,6.99,10.06,76044.10,76043.61
is-hexadecimal,296.01,9.93,,
babel-jscs,390.41,22.43,,
character-entities-html4,,12.60,,
react-timer-mixin,2762.55,6232.09,78926.60,
mocha-nightwatch,,7219.46,,75738.75
sourcemapped-stacktrace,532.39,673.84,61973.82,41314.85
unist-util-remove-position,678.77,22.41,,
stream-connect,653.21,,,
call-signature,,1.15,84483.48,
address,460.45,3.32,42043.94,43905.82
minimize,154.81,1238.98,76774.45,61255.91
node-fs,6005.56,193.69,1644.34,
fast-diff,1571.52,2023.65,8850.02,
broccoli-writer,,1.11,100720.48,
browserify-shim,138.34,9.42,69691.14,20541.38
argh,116.21,325.93,,
heap,3991.30,125.69,54464.95,41001.05
karma-sinon-chai,2237.14,596.83,46993.16,
request-image-size,102.59,8.51,57189.33,32086.71
add-dom-event-listener,,6.95,,
rc-trigger,897.10,136.12,44624.91,27506.84
space-pen,17606.00,446.78,,
react-datepicker,7193.62,68.71,5418.34,10.63
unherit,,16.09,,
gulp-nodemon,858.26,1529.92,76730.28,48350.31
tslint-eslint-rules,227.25,92.70,65222.53,53637.72
core-assert,6221.12,139.96,,
d3-selection,29.80,452.89,25007.06,23694.18
remark-stringify,117.72,23.63,,2822.91
webpack-md5-hash,186.30,5.57,75446.94,79984.73
temp-write,7.53,4.24,,
slick,,3.18,,90746.19
react-tools,,,,
mimer,6338.88,4186.65,,
var,18152.47,1979.09,,
ccount,,56.02,,1671.82
chai-nightwatch,,,,56517.05
postcss-apply,839.34,16.36,70380.23,
uid,1343.45,21.75,,10343.53
absolute-path,,,,
should-type-adaptors,,,,53221.78
ambi,890.03,31.00,67849.97,
babel-preset-es2015-node,527.31,19.98,81067.33,
pagerank,8818.32,23868.24,,
nsp,,332.23,,
streamqueue,58.55,13945.84,10551.63,
color-support,1207.92,,,80932.00
http-assert,6083.57,304.65,13668.73,3299.29
meetup-web-platform,1338.77,39.82,28675.61,30225.97
should-util,,34.58,,53221.80
marko,1130.31,3.21,38144.93,3216.12
decimal.js,157.12,58.17,29089.21,9709.11
rebound,884.92,178.28,74133.62,55399.56
unist-util-stringify-position,,23.26,,
only,2304.24,0.80,41329.55,60827.52
detect-conflict,8021.29,19066.15,,
fn-name,0.11,2.49,,
yazl,79.42,9114.24,44637.83,55912.14
composer-admin,,,,
dom-align,282.04,32.50,43820.12,21574.34
coffee-loader,4129.04,36.11,68540.47,
pixelmatch,130.21,45.50,32522.97,25540.21
mimeparse,,15958.35,,
extendr,59.28,178.63,60991.41,
koa-is-json,,263.73,39710.74,544.86
error-inject,0.27,,,
jwt-decode,1753.17,76.11,9931.67,2365.73
split-array-stream,263.83,62.29,,56071.96
diskusage,991.40,197.63,53627.50,25217.17
pg-minify,33.11,2.94,,
ember-try,2007.49,340.21,50799.85,6413.31
trough,121.22,23.76,,
is-stream-ended,0.06,1.58,,
composer-client,,,,
jimp,7806.70,458.18,38388.84,6540.74
resolve-cwd,1536.90,102.90,53906.05,
debounce,34539.63,3649.89,,
stack-chain,251.52,5.54,88863.68,53601.07
