pkg_name,maintainer_count,gh_days_since_commit,gh_open_prs,gh_open_issues,gh_stars,gh_repo_url
concat-stream,3,1417,7,11,577,https://github.com/maxogden/concat-stream
negotiator,4,199,2,8,347,https://github.com/jshttp/negotiator
path-exists,1,1164,0,0,151,https://github.com/sindresorhus/path-exists
core-js,1,0,8,37,24981,https://github.com/zloirock/core-js
verror,11,950,0,16,1189,https://github.com/joyent/node-verror
number-is-nan,1,373,0,0,28,https://github.com/sindresorhus/number-is-nan
finalhandler,3,1,10,3,225,https://github.com/pillarjs/finalhandler
sshpk,9,37,6,25,192,https://github.com/joyent/node-sshpk
graceful-readlink,1,3055,0,0,9,https://github.com/zhiyelee/graceful-readlink
repeating,1,1467,0,0,34,https://github.com/sindresorhus/repeating
accepts,3,44,2,6,257,https://github.com/jshttp/accepts
extsprintf,11,1284,0,1,35,https://github.com/davepacheco/node-extsprintf
tweetnacl,1,269,4,3,1850,https://github.com/dchest/tweetnacl-js
underscore,2,31,22,30,27386,https://github.com/jashkenas/underscore
isstream,1,3419,0,1,63,https://github.com/rvagg/isstream
jsprim,11,1258,1,3,34,https://github.com/joyent/node-jsprim
is-buffer,1,1361,4,0,90,https://github.com/feross/is-buffer
stringstream,1,382,1,0,27,https://github.com/mhart/StringStream
argparse,1,547,1,6,500,https://github.com/nodeca/argparse
json-schema,1,991,5,24,523,https://github.com/kriszyp/json-schema
strip-json-comments,1,676,0,1,606,https://github.com/sindresorhus/strip-json-comments
cookie,2,79,7,3,1399,https://github.com/jshttp/cookie
aws4,1,191,12,26,714,https://github.com/mhart/aws4
dashdash,1,797,8,16,175,https://github.com/trentm/node-dashdash
fs-extra,3,114,0,15,9549,https://github.com/jprichardson/node-fs-extra
jsbn,1,1147,5,15,171,https://github.com/andyperlitch/jsbn
isobject,3,395,1,3,106,https://github.com/jonschlinkert/isobject
escape-html,1,967,2,0,472,https://github.com/component/escape-html
statuses,3,86,2,0,277,https://github.com/jshttp/statuses
domelementtype,1,138,0,0,28,https://github.com/fb55/domelementtype
braces,2,110,0,3,237,https://github.com/micromatch/braces
